Web_Development,Big_Data,Machine_Learning,Deep_Learning,Security
AWS (Amazon Web Services),Bigtable,Alteryx,Alteryx,Burp Suite
Ansible,,Amazon Machine Learning,Amazon Machine Learning,Cloud Sec
Apache,Data Security,Apache Mahout,BigDL,Data Backup
Azure,Data lakes,BigDL,,Data Classification
Bulma,Data mining,CatBoost,CatBoost,Data Encryption
CSS,Data warehousing,DataRobot,Chainer,Data Loss Prevention
Django,HBase,Databricks,Data Augmentation,Data Security
Docker,,Dataiku,Dataiku,Encryption
HTML,MongoDB,Deep Learning Toolkit,Deeplearning4j,Identity and Access Management
,NoSQL,DeepMind Lab,Dopamine,Password Management
MongoDB,Power BI,Deeplearning4j,IBM Watson,SAP
Mustache,Predictive Analytics,Docker,,SCP
,Presto,Dopamine,Microsoft Azure Computer Vision,Sec Analytics Tools
Nginx,Pyspark,Google Cloud AI Platform,Power BI,Security Architecture
PHP,,,Pyspark,Security Awareness Training
PostgreSQL,,MLflow,,Security Consulting
Python,,Microsoft Azure Machine Learning,Regularization,Security Monitoring
React,,NLTK (Natural Language Toolkit),,Security Onion
SOAP APIs,,OpenCV,XGBoost,Security Policy Development
,,Power BI,,Security Training
,,PyTorch,,Social Engineering
Symfony,,,,TLS
TypeScript,,R,,TrueCrypt
Vuex State Management,,RapidMiner,,Web Application Firewall
Vuex Store,,SAS Analytics,,
Web Animations API,,Stable Baselines,,
Web Components,,,,
WebRTC,,XGBoost,,
WebVR,,,,
Webpack,,,,
XML APIs,,,,
